=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.07.29 13:21:36 =~=~=~=~=~=~=~=~=~=~=~=
0.1
101361,4.92,0.19
101612,4.92,0.19
101863,4.92,0.19
102114,4.92,0.19
102366,4.92,0.20
102617,4.91,0.26
102867,4.89,0.29
103118,4.88,0.29
103370,4.88,0.33
103621,4.80,0.45
103872,4.88,0.30
104123,4.88,0.29
104374,4.89,0.29
104626,4.88,0.27
104877,4.89,0.28
105127,4.89,0.26
105378,4.89,0.26
105630,4.89,0.26
105881,4.89,0.28
106132,4.89,0.24
106383,4.90,0.24
106634,4.89,0.27
106886,4.88,0.30
107137,4.89,0.22
107387,4.91,0.22
107638,4.90,0.23
107890,4.91,0.23
108141,4.89,0.31
108392,4.87,0.32
108643,4.87,0.32
108895,4.87,0.33
109146,4.87,0.32
109396,4.87,0.32
109647,4.87,0.32
109898,4.87,0.33
110150,4.87,0.30
110401,4.88,0.28
110652,4.89,0.28
110903,4.90,0.24
111154,4.90,0.28
111406,4.89,0.27
111656,4.87,0.28
111907,4.89,0.26
112158,4.90,0.28
112410,4.89,0.22
112661,4.91,0.26
112912,4.90,0.23
113163,4.91,0.22
113415,4.90,0.25
113666,4.90,0.23
113916,4.91,0.23
114167,4.90,0.23
114418,4.90,0.27
114670,4.89,0.27
114921,4.89,0.27
115172,4.89,0.28
115423,4.86,0.33
115674,4.87,0.29
115926,4.88,0.31
116176,4.89,0.27
116427,4.85,0.50
116678,4.83,0.25
116929,4.90,0.25
117181,4.88,0.25
117432,4.86,0.37
117683,4.85,0.36
117934,4.86,0.35
118184,4.86,0.36
118436,4.86,0.35
118687,4.86,0.35
118938,4.86,0.36
119189,4.86,0.36
119440,4.86,0.37
119692,4.84,0.39
119943,4.85,0.39
120194,4.84,0.40
120444,4.84,0.40
120695,4.85,0.38
120946,4.85,0.38
121198,4.85,0.38
121449,4.85,0.37
121700,4.84,0.38
121951,4.85,0.38
122202,4.85,0.38
122454,4.86,0.36
122704,4.87,0.37
122955,4.85,0.39
123206,4.83,0.32
123457,4.87,0.29
123708,4.89,0.28
123960,4.88,0.29
124211,4.88,0.33
124462,4.87,0.33
124712,4.87,0.33
124963,4.87,0.47
125215,4.80,0.31
125466,4.88,0.25
125717,4.87,0.34
125968,4.86,0.34
126219,4.86,0.35
126471,4.87,0.34
126722,4.86,0.33
126972,4.86,0.33
127223,4.87,0.34
127474,4.86,0.34
127725,4.87,0.34
127977,4.86,0.37
128228,4.85,0.34
128479,4.86,0.35
128730,4.87,0.34
128980,4.86,0.34
129232,4.86,0.34
129483,4.86,0.34
129734,4.87,0.33
129985,4.86,0.34
130236,4.86,0.34
130488,4.87,0.34
130739,4.87,0.33
130990,4.86,0.34
131240,4.86,0.34
131491,4.87,0.35
131742,4.86,0.33
131994,4.86,0.33
132245,4.86,0.34
132496,4.87,0.34
132747,4.86,0.34
132999,4.86,0.34
133250,4.85,0.36
133500,4.86,0.37
133751,4.86,0.36
134002,4.85,0.36
134253,4.85,0.36
134505,4.85,0.37
134756,4.85,0.36
135007,4.85,0.36
135258,4.86,0.34
135508,4.86,0.33
135760,4.90,0.25
136011,4.89,0.29
136262,4.88,0.31
136513,4.87,0.34
136764,4.81,0.47
137016,4.88,0.30
137267,4.89,0.28
137518,4.88,0.30
137768,4.89,0.26
138019,4.90,0.22
138271,4.90,0.23
138522,4.91,0.21
138773,4.91,0.21
139024,4.91,0.21
139276,4.91,0.21
139527,4.91,0.21
139778,4.91,0.21
140029,4.91,0.21
140280,4.91,0.21
140531,4.91,0.21
140783,4.91,0.21
141034,4.91,0.21
141285,4.91,0.21
141536,4.91,0.21
141788,4.91,0.21
142039,4.91,0.21
142289,4.91,0.21
142541,4.91,0.21
142792,4.91,0.21
143043,4.90,0.24
143294,4.89,0.26
143546,4.88,0.27
143797,4.90,0.23
144048,4.90,0.23
144299,4.90,0.23
144550,4.90,0.23
144801,4.90,0.23
145052,4.90,0.23
145303,4.90,0.23
145554,4.91,0.21
145806,4.91,0.21
146057,4.91,0.21
146308,4.91,0.21
146560,4.91,0.21
146810,4.91,0.21
147061,4.91,0.21
147312,4.91,0.21
147564,4.91,0.21
147815,4.91,0.20
148066,4.89,0.26
148318,4.90,0.25
148569,4.90,0.24
148819,4.90,0.22
149070,4.90,0.23
149322,4.90,0.23
149573,4.91,0.23
149824,4.90,0.23
150075,4.91,0.23
150327,4.90,0.23
150578,4.91,0.21
150829,4.91,0.21
151079,4.91,0.20
151331,4.91,0.21
151582,4.91,0.21
151833,4.91,0.20
152085,4.91,0.21
152336,4.91,0.20
152587,4.91,0.21
152838,4.91,0.20
153090,4.91,0.20
153340,4.91,0.21
153591,4.91,0.22
153843,4.91,0.20
154094,4.91,0.21
154345,4.91,0.20
154596,4.91,0.21
154848,4.91,0.21
155099,4.91,0.21
155350,4.91,0.21
155601,4.91,0.21
155852,4.91,0.21
156103,4.91,0.21
156354,4.91,0.20
156606,4.91,0.21
156857,4.91,0.21
157108,4.91,0.21
157360,4.91,0.21
157611,4.91,0.21
157861,4.91,0.21
158113,4.90,0.24
158364,4.90,0.24
158615,4.90,0.24
158866,4.90,0.25
159118,4.90,0.23
159369,4.91,0.21
159620,4.91,0.21
159870,4.91,0.21
160122,4.91,0.25
160373,4.88,0.30
160624,4.88,0.30
160875,4.88,0.30
161126,4.88,0.30
161378,4.88,0.35
161629,4.88,0.33
161880,4.87,0.33
162130,4.88,0.30
162382,4.88,0.30
162633,4.84,0.52
